test_case_id,module,user_type,scenario,preconditions,steps,expected_result,priority,status
TC-011,Login,บุคคลภายนอก,เข้าสู่ระบบบุคคลภายนอกโดยไม่ต้องกรอกรหัส,อยู่หน้าเลือกประเภทผู้ยื่นคำขอ,คลิกการ์ด บุคคลภายนอก,ระบบตั้ง currentLoginType เป็น external ไป homeView และ welcomeText แสดง ยินดีต้อนรับ บุคคลภายนอก,High,Not Run
TC-012,Navigation,All,เปลี่ยนผู้ใช้งานกลับหน้าแรก,อยู่ homeView หลัง login หรือเลือกบุคคลภายนอก,กดปุ่ม เปลี่ยนผู้ใช้งาน,ระบบล้าง currentLoginType และ globalUserData แล้วกลับไป initialUserTypeView,High,Not Run
TC-013,Navigation,All,ปุ่มย้อนกลับจากแบบฟอร์มกลับ home,อยู่ formContentView หรือ externalFormView,กดปุ่ม ย้อนกลับ,ระบบกลับ homeView และเลื่อนหน้าไปด้านบน,Medium,Not Run
TC-014,Menu Visibility,บุคลากร,เมนูบุคลากรซ่อนขอเข้าพื้นที่คู่สัญญา,เข้าสู่ระบบเป็นบุคลากร,ดูรายการเมนูใน homeView,เมนูขอเข้าพื้นที่คู่สัญญาถูกซ่อน เมนูจอดค้างคืน รายเดือน ตราประทับ แก้ทะเบียน พื้นที่ชั่วคราว และแจ้งปัญหาแสดงอยู่,High,Not Run
TC-015,Menu Visibility,นักศึกษา,เมนูนักศึกษาซ่อนขอเข้าพื้นที่คู่สัญญา,เข้าสู่ระบบเป็นนักศึกษา,ดูรายการเมนูใน homeView,เมนูขอเข้าพื้นที่คู่สัญญาถูกซ่อน และเมนูอื่นของ internal user แสดงอยู่,High,Not Run
TC-016,Menu Visibility,บุคคลภายนอก,เมนูบุคคลภายนอกซ่อนบริการที่ไม่รองรับ,เลือกบุคคลภายนอก,ดูรายการเมนูใน homeView,เมนูรายเดือน เพิ่ม/แก้ไข/ยกเลิกทะเบียน และตราประทับถูกซ่อน ส่วนจอดค้างคืน พื้นที่ชั่วคราว คู่สัญญา และแจ้งปัญหาแสดงอยู่,High,Not Run
TC-017,Internal Applicant Data,บุคลากร,แสดงข้อมูลผู้ยื่นคำขอของบุคลากร,เข้าสู่ระบบเป็นบุคลากร,เปิดฟอร์มใดก็ได้ที่ไม่ใช่แจ้งปัญหา,ระบบแสดงชื่อ ตำแหน่ง หน่วยงาน เบอร์โทรภายใน อีเมล และช่องเบอร์โทรศัพท์ติดต่อ โดยซ่อนรหัสประจำตัว,High,Not Run
TC-018,Internal Applicant Data,นักศึกษา,แสดงข้อมูลผู้ยื่นคำขอของนักศึกษา,เข้าสู่ระบบเป็นนักศึกษา,เปิดฟอร์ม internal ใดก็ได้,ระบบแสดงรหัสนักศึกษา ชื่อ สถานภาพ คณะ/สังกัด ภาควิชา/สาขาวิชา อีเมล และช่องเบอร์โทรศัพท์ติดต่อ โดยซ่อนตำแหน่ง/หน่วยงาน/เบอร์ภายใน,High,Not Run
TC-019,Approver,บุคลากร,แสดงผู้อนุมัติสำหรับบุคลากรในฟอร์มทั่วไป,เข้าสู่ระบบเป็นบุคลากร,เปิดฟอร์มที่ไม่ใช่แจ้งปัญหา,ระบบแสดงส่วนข้อมูลผู้มีอำนาจอนุมัติสายงานบุคลากร พร้อมชื่อ ตำแหน่ง และอีเมล หรือข้อความไม่มีข้อมูลเมื่อหาไม่พบ,High,Not Run
TC-020,Approver,นักศึกษา,แสดงผู้อนุมัติเฉพาะฟอร์มตราประทับของนักศึกษา,เข้าสู่ระบบเป็นนักศึกษา,เปิดฟอร์มขอใช้ตราประทับ,ระบบแสดงส่วนข้อมูลผู้มีอำนาจอนุมัติสายงานนักศึกษา และรายละเอียดคำขอเป็นส่วนที่ 3,Medium,Not Run
TC-021,Approver,Staff/Student,ซ่อนผู้อนุมัติในฟอร์มแจ้งปัญหา,เข้าสู่ระบบเป็นบุคลากรหรือนักศึกษา,เปิดฟอร์มแจ้งปัญหาการใช้งานพื้นที่/ที่จอดรถ,ระบบซ่อน approverSection และรายละเอียดคำขอเป็นส่วนที่ 2,Medium,Not Run
TC-022,Monthly Parking,บุคลากร,ฟอร์มรายเดือนบุคลากรมีตัวเลือกผู้ใช้บริการจริงและแนบสัญญาจ้าง,เข้าสู่ระบบเป็นบุคลากร,เปิดฟอร์มขอจอดรถรายเดือน,ระบบแสดง radio ขอให้ตนเอง/ขอให้ผู้อื่น ช่องทะเบียนรถ วันเริ่มต้น วันสิ้นสุดอัตโนมัติ และช่องแนบสัญญาจ้าง,High,Not Run
TC-023,Monthly Parking,บุคลากร,เลือกขอให้ผู้อื่นแล้วแสดงข้อมูลผู้ใช้จริง,อยู่ฟอร์มขอจอดรถรายเดือนของบุคลากร,เลือก radio ขอให้ผู้อื่น,ระบบแสดงกล่องระบุชื่อ-สกุล เบอร์โทรศัพท์ และอีเมลของผู้ใช้บริการจริง,High,Not Run
TC-024,Monthly Parking,บุคลากร,กลับจากขอให้ผู้อื่นเป็นขอให้ตนเองแล้วซ่อนข้อมูลผู้ใช้จริง,อยู่ฟอร์มขอจอดรถรายเดือนของบุคลากรและเลือกขอให้ผู้อื่นแล้ว,เลือก radio ขอให้ตนเอง,ระบบซ่อน divMonthlyOtherDetails,Medium,Not Run
TC-025,Monthly Parking,Staff/Student,คำนวณวันสิ้นสุดรายเดือนอัตโนมัติ,อยู่ฟอร์มขอจอดรถรายเดือน,เลือกวันที่เริ่มต้น 2026-05-20,ระบบเติมวันที่สิ้นสุดเป็น 19/06/2026,High,Not Run
TC-026,Monthly Parking,นักศึกษา,ฟอร์มรายเดือนนักศึกษาไม่มี field เฉพาะบุคลากร,เข้าสู่ระบบเป็นนักศึกษา,เปิดฟอร์มขอจอดรถรายเดือน,ระบบไม่แสดง radio ผู้ใช้บริการจริง และไม่แสดงแนบสัญญาจ้าง,Medium,Not Run
TC-027,Overnight Parking,บุคลากร,แสดงลิงก์จอดค้างคืนสถานที่อื่นเฉพาะบุคลากร,เข้าสู่ระบบเป็นบุคลากร,เปิดฟอร์มขอจอดรถค้างคืน,ระบบแสดงข้อความ หากต้องการจอดรถค้างคืนสถานที่อื่นในมหาวิทยาลัย คลิกที่นี่ พร้อมลิงก์ Google Form,Medium,Not Run
TC-028,Overnight Parking,Staff/Student,ตัวเลือกเหตุผลของ internal user มีไปราชการ,เข้าสู่ระบบเป็นบุคลากรหรือนักศึกษา,เปิดฟอร์มขอจอดรถค้างคืนและดู dropdown เหตุผล,dropdown มีตัวเลือก กรณีไปราชการ หรือ ปฏิบัติงานของมหาวิทยาลัย เหตุสุดวิสัย และอื่น ๆ,High,Not Run
TC-029,Overnight Parking,บุคคลภายนอก,ตัวเลือกเหตุผลบุคคลภายนอกไม่มีไปราชการ,เลือกบุคคลภายนอก,เปิดฟอร์มขอจอดรถค้างคืนและดู dropdown เหตุผล,dropdown มีเฉพาะ เหตุสุดวิสัย และอื่น ๆ โดยไม่มีตัวเลือกไปราชการ,High,Not Run
TC-030,Overnight Parking,Staff/Student,เลือกเหตุผลไปราชการแล้วไม่ต้องแนบไฟล์,อยู่ฟอร์มขอจอดรถค้างคืนของ internal user,เลือกเหตุผลไปราชการ,ระบบแสดง textarea รายละเอียดเพิ่มเติม แต่ซ่อนส่วนแนบเอกสารประกอบ,High,Not Run
TC-031,Overnight Parking,All,เลือกเหตุสุดวิสัยหรืออื่น ๆ แล้วต้องเห็นช่องแนบไฟล์,อยู่ฟอร์มขอจอดรถค้างคืน,เลือกเหตุผล เหตุสุดวิสัย หรือ อื่น ๆ,ระบบแสดง textarea รายละเอียดเพิ่มเติม และแสดงช่องแนบเอกสารประกอบการพิจารณา,High,Not Run
TC-032,Overnight Parking,All,วันที่สิ้นสุดก่อนวันที่เริ่มต้นไม่ถูกต้อง,อยู่ฟอร์มขอจอดรถค้างคืน,เลือกวันเริ่มต้นหลังวันสิ้นสุด,ระบบ alert วันที่สิ้นสุดต้องไม่น้อยกว่าวันที่เริ่มต้น ล้างวันที่สิ้นสุด และตั้งจำนวนคืนเป็น 0,High,Not Run
TC-033,Overnight Parking,All,จอดค้างคืนวันเดียวกันไม่ถูกต้อง,อยู่ฟอร์มขอจอดรถค้างคืน,เลือกวันที่เริ่มต้นและวันที่สิ้นสุดเป็นวันเดียวกัน,ระบบ alert วันที่สิ้นสุดต้องเป็นวันถัดไปอย่างน้อย 1 คืน ล้างวันที่สิ้นสุด และตั้งจำนวนคืนเป็น 0,High,Not Run
TC-034,Overnight Parking,All,คำนวณจำนวนคืนถูกต้อง,อยู่ฟอร์มขอจอดรถค้างคืน,เลือกวันที่เริ่มต้น 2026-05-01 และวันที่สิ้นสุด 2026-05-03,ระบบคำนวณจำนวนคืนเป็น 2,High,Not Run
TC-035,Overnight Parking,All,เปิดขอจอดมากกว่า 1 คันและสร้าง field ตามจำนวน,อยู่ฟอร์มขอจอดรถค้างคืน,ติ๊ก ขอจอดมากกว่า 1 คัน แล้วเลือกจำนวน 10 คัน,ระบบแสดง field ชื่อ สกุล และทะเบียนรถ สำหรับคันที่ 1 ถึงคันที่ 10,Medium,Not Run
TC-036,Stamp,Staff/Student,ฟอร์มตราประทับมีการขอในนามโครงการหรือหน่วยงาน,เข้าสู่ระบบเป็นบุคลากรหรือนักศึกษา,เปิดฟอร์มขอใช้ตราประทับ,ระบบแสดง radio ขอในนาม โครงการ/หน่วยงาน และ textbox ชื่อโครงการ/หน่วยงาน,High,Not Run
TC-037,Stamp,All,เลือกประเภทผู้ใช้ตราประทับอื่น ๆ แล้วแสดงช่องระบุ,อยู่ฟอร์มขอใช้ตราประทับ,เลือกประเภทผู้ใช้ตราประทับเป็น อื่น ๆ,ระบบแสดง textbox in_stamp_other และ focus ที่ช่องดังกล่าว,Medium,Not Run
TC-038,Stamp,All,เปลี่ยนจากอื่น ๆ เป็นประเภทปกติแล้วล้างช่องอื่น ๆ,อยู่ฟอร์มขอใช้ตราประทับและเลือก อื่น ๆ แล้วกรอกข้อความ,เปลี่ยน dropdown เป็นประเภทอื่นที่ไม่ใช่ อื่น ๆ,ระบบซ่อน in_stamp_other และล้างค่าในช่อง,Medium,Not Run
TC-039,Stamp,All,คำนวณจำนวนวันแบบรวมวันเริ่มต้นและสิ้นสุด,อยู่ฟอร์มขอใช้ตราประทับ,เลือกวันที่เริ่มต้น 2026-05-01 และวันที่สิ้นสุด 2026-05-03,ระบบแสดงจำนวนวันเป็น 3,High,Not Run
TC-040,Plate Registration,บุคลากร,บุคลากรกดเมนูทะเบียนรถแล้ว redirect,เข้าสู่ระบบเป็นบุคลากร,คลิกเมนูขอเพิ่ม/แก้ไข/ยกเลิกทะเบียนรถยนต์,ระบบเปิด URL https://app.ibgm.cloud/signin ใน tab ใหม่ และไม่ render ฟอร์มในระบบนี้,High,Not Run
TC-041,Plate Registration,นักศึกษา,ฟอร์มทะเบียนรถแสดงประเภทคำขอและจำนวนคัน,เข้าสู่ระบบเป็นนักศึกษา,เปิดฟอร์มขอเพิ่ม/แก้ไข/ยกเลิกทะเบียนรถยนต์,ระบบแสดง radio เพิ่มทะเบียน แก้ไขทะเบียน ยกเลิกทะเบียน และ dropdown จำนวนคัน 1-5,High,Not Run
TC-042,Plate Registration,นักศึกษา,เพิ่มทะเบียนสูงสุด 5 คัน,อยู่ฟอร์มทะเบียนรถของนักศึกษา,เลือก เพิ่มทะเบียน และเลือกจำนวน 5 คัน,ระบบสร้าง field ทะเบียนรถคันที่ 1 ถึงคันที่ 5 และ summary แสดงทะเบียนครบ 5 คันเมื่อส่งตรวจสอบ,High,Not Run
TC-043,Plate Registration,นักศึกษา,แก้ไขทะเบียนสูงสุด 5 คัน,อยู่ฟอร์มทะเบียนรถของนักศึกษา,เลือก แก้ไขทะเบียน และเลือกจำนวน 5 คัน,ระบบสร้าง field ทะเบียนเดิมและทะเบียนใหม่สำหรับคันที่ 1 ถึงคันที่ 5 และ summary แสดงคู่เดิม/ใหม่ครบตามจำนวน,High,Not Run
TC-044,Plate Registration,นักศึกษา,ยกเลิกทะเบียนสูงสุด 5 คัน,อยู่ฟอร์มทะเบียนรถของนักศึกษา,เลือก ยกเลิกทะเบียน และเลือกจำนวน 5 คัน,ระบบสร้าง field ทะเบียนที่ต้องการยกเลิกคันที่ 1 ถึงคันที่ 5 และ summary แสดงครบตามจำนวน,High,Not Run
TC-045,Plate Registration,นักศึกษา,ปุ่มล้างทะเบียนทำงานเฉพาะช่องที่เลือก,อยู่ฟอร์มทะเบียนรถของนักศึกษาและมีค่าทะเบียนในช่อง plate1,กดปุ่มไอคอนถังขยะของคันที่ 1,ระบบล้างค่าในช่อง plate1 และ focus กลับไปที่ช่อง plate1,Medium,Not Run
TC-046,Temporary Area,All,ฟอร์มใช้พื้นที่ชั่วคราวมีทะเบียนรถไม่บังคับและแนบไฟล์,เปิดฟอร์มขอใช้พื้นที่ชั่วคราว,ตรวจ field ในฟอร์ม,ระบบแสดงชื่อกิจกรรม ทะเบียนรถยนต์ถ้ามี วันที่เริ่มต้น วันที่สิ้นสุด วัตถุประสงค์ สถานที่ แนบรายละเอียดกิจกรรม แนบไฟล์เพิ่มเติม ข้อความเสนอพิจารณา และ consent,High,Not Run
TC-047,Temporary Area,All,checkbox อื่น ๆ ของวัตถุประสงค์และสถานที่เปิดปิด textbox,อยู่ฟอร์มขอใช้พื้นที่ชั่วคราว,ติ๊ก obj3 และ loc3 แล้วเอาติ๊กออก,เมื่อติ๊ก ระบบ enable และ focus textbox อื่น ๆ เมื่อเอาติ๊กออก ระบบ disable และล้างค่า textbox,Medium,Not Run
TC-048,Temporary Area,บุคคลภายนอก,ฟอร์มพื้นที่ชั่วคราวของบุคคลภายนอกซ่อนประเภทผู้ขอ,เลือกบุคคลภายนอก,เปิดฟอร์มขอใช้พื้นที่ชั่วคราว,ระบบซ่อน divExtType และ summary ไม่แสดงประเภทผู้ขอ,Medium,Not Run
TC-049,Contract Area,บุคคลภายนอก,ฟอร์มคู่สัญญาซ่อนประเภทผู้ขอและแสดง dropdown ตามลำดับ,เลือกบุคคลภายนอก,เปิดฟอร์มขอเข้าพื้นที่คู่สัญญา,ระบบซ่อน divExtType และแสดง dropdown บริษัท ประเภทธุรกิจ พื้นที่การศึกษา อาคาร โดยเริ่มต้นให้เลือกบริษัทก่อน,High,Not Run
TC-050,Contract Area,บุคคลภายนอก,เลือกบริษัทแล้วเปิดประเภทธุรกิจและ reset ขั้นถัดไป,อยู่ฟอร์มขอเข้าพื้นที่คู่สัญญาและ contractDatabase โหลดแล้ว,เลือกบริษัทใน contractCompany,ระบบเติม option ประเภทธุรกิจ เปิดใช้งาน contractBusinessType และ reset/disable พื้นที่การศึกษาและอาคาร,High,Not Run
TC-051,Contract Area,บุคคลภายนอก,เลือกประเภทธุรกิจแล้วเปิดพื้นที่การศึกษา,เลือกบริษัทแล้ว,เลือกประเภทธุรกิจ,ระบบเติม option พื้นที่การศึกษา เปิดใช้งาน contractCampus และ reset/disable อาคาร,High,Not Run
TC-052,Contract Area,บุคคลภายนอก,เลือกพื้นที่การศึกษาแล้วเปิดอาคาร,เลือกบริษัทและประเภทธุรกิจแล้ว,เลือกพื้นที่การศึกษา,ระบบเติม option อาคารและเปิดใช้งาน contractBuilding,High,Not Run
TC-053,Issue Report,Staff/Student,ฟอร์มแจ้งปัญหาแสดงคำแนะนำ MOD LINK,เข้าสู่ระบบเป็นบุคลากรหรือนักศึกษา,เปิดฟอร์มแจ้งปัญหาการใช้งานพื้นที่/ที่จอดรถ,ระบบแสดง modal แนะนำ Modlink และในฟอร์มมี alert แนะนำช่องทาง MOD LINK,Medium,Not Run
TC-054,Issue Report,All,ฟอร์มแจ้งปัญหาไม่บังคับ consent และมีแนบไฟล์,เปิดฟอร์มแจ้งปัญหาการใช้งานพื้นที่/ที่จอดรถ,ตรวจ field และกดตรวจสอบข้อมูล,ฟอร์มมี hidden consentCheck จึงไม่ alert เรื่อง consent และมีช่องแนบรูปภาพ เอกสาร หรือวิดีโอ,High,Not Run
TC-055,Summary Modal,All,ฟอร์มที่มี consent ต้องติ๊กก่อนแสดง summary,เปิดฟอร์มใดก็ได้ที่มี checkbox consentCheck,ไม่ติ๊ก consent แล้วกด ตรวจสอบและส่งข้อมูล,ระบบ alert ให้ทำเครื่องหมายรับทราบและตกลงให้ความยินยอม และไม่เปิด summaryModal,High,Not Run
TC-056,Summary Modal,All,summary แสดงข้อมูลผู้ติดต่อและรายละเอียดตามฟอร์ม,กรอกข้อมูลในฟอร์มและติ๊ก consent ถ้ามี,กด ตรวจสอบและส่งข้อมูล,ระบบเปิด summaryModal และแสดงข้อมูลผู้ติดต่อ รายละเอียดคำขอ และผู้อนุมัติตามเงื่อนไขของ user/form,High,Not Run
TC-057,Submit Flow,All,ยืนยันส่งข้อมูลแล้วส่ง Jotform แสดง success และกลับ home,summaryModal เปิดอยู่,กด ยืนยันส่งข้อมูล,ระบบปิด summaryModal เรียก submitToJotform สร้าง form submit ไป Jotform จากนั้นแสดง successModal ประมาณ 2 วินาที แล้วกลับ homeView,High,Not Run
TC-058,Validation Current Behavior,All,required fields ยังไม่ถูก validate ยกเว้น login/date/consent,เปิดฟอร์มที่มีช่อง required และติ๊ก consent แล้วปล่อย field หลักว่าง,กด ตรวจสอบและส่งข้อมูล,ระบบยังเปิด summaryModal ได้ โดยแสดงเฉพาะแถวที่มีค่า เพราะโค้ดปัจจุบัน validate เฉพาะ login date และ consent,Medium,Not Run
TC-059,Jotform Submission,All,สร้าง hidden iframe และ form สำหรับส่ง Jotform,summaryModal เปิดอยู่และกด ยืนยันส่งข้อมูล,ตรวจ DOM หลังเรียก confirmSubmitForm,ระบบสร้าง iframe id jotformSubmitFrame ที่ซ่อนอยู่ และ form id jotformDirectSubmitForm ที่ซ่อนอยู่,High,Not Run
TC-060,Jotform Submission,All,ตั้งค่า form submission ไป Jotform ถูกต้อง,summaryModal เปิดอยู่และกด ยืนยันส่งข้อมูล,ตรวจ attribute ของ jotformDirectSubmitForm,form action เป็น https://submit.jotform.com/submit/261200763585052 method เป็น POST enctype เป็น multipart/form-data acceptCharset เป็น utf-8 และ target เป็น jotformSubmitFrame,High,Not Run
TC-061,Jotform Submission,All,ลบ iframe/form เก่าก่อน submit ใหม่,มี element jotformSubmitFrame และ jotformDirectSubmitForm เดิมอยู่ใน DOM,กด ยืนยันส่งข้อมูลอีกครั้ง,ระบบ remove element เดิมก่อนสร้าง iframe/form ชุดใหม่ ป้องกัน DOM ซ้ำ,Medium,Not Run
TC-062,Jotform Submission,All,ส่ง hidden metadata พื้นฐานไป Jotform,summaryModal เปิดอยู่และกด ยืนยันส่งข้อมูล,ตรวจ hidden fields ใน jotformDirectSubmitForm,form มี formID=261200763585052 simple_spc=261200763585052-261200763585052 submitSource=BPUU-DEMO submitDate เป็น ISO string eventObserver=1 และ website เป็นค่าว่าง,High,Not Run
TC-063,Jotform Submission,บุคลากร,map ข้อมูลผู้ขอบุคลากรไป Jotform,เข้าสู่ระบบเป็นบุคลากร เปิดฟอร์มใดก็ได้ กรอกเบอร์ และเปิด summary แล้ว,กด ยืนยันส่งข้อมูลและตรวจ hidden fields,q16_input16 เป็น staff = บุคลากร และ q18-q24 เก็บรหัส ชื่อ อีเมล เบอร์ หน่วยงาน ตำแหน่ง เบอร์ภายในจากฟอร์ม internal,High,Not Run
TC-064,Jotform Submission,นักศึกษา,map ข้อมูลผู้ขอนักศึกษาไป Jotform,เข้าสู่ระบบเป็นนักศึกษา เปิดฟอร์มใดก็ได้ กรอกเบอร์ และเปิด summary แล้ว,กด ยืนยันส่งข้อมูลและตรวจ hidden fields,q16_input16 เป็น student = นักศึกษา และ q18-q27 เก็บรหัส ชื่อ อีเมล เบอร์ คณะ สถานภาพ คณะ และสาขาวิชาจากฟอร์ม internal,High,Not Run
TC-065,Jotform Submission,บุคคลภายนอก,map ข้อมูลผู้ขอบุคคลภายนอกไป Jotform,เลือกบุคคลภายนอก เปิดฟอร์มที่ใช้ externalFormView กรอกข้อมูลผู้ติดต่อ และเปิด summary แล้ว,กด ยืนยันส่งข้อมูลและตรวจ hidden fields,q16_input16 เป็น external = บุคคลภายนอก q19 เป็นชื่อ+นามสกุล q20 เป็นอีเมล q21 เป็นเบอร์ q22 เป็นหน่วยงาน/บริษัท และ requesterId ว่าง,High,Not Run
TC-066,Jotform Submission,บุคคลภายนอก,external type ส่งเฉพาะฟอร์มที่ไม่ถูกซ่อนประเภทผู้ขอ,เลือกบุคคลภายนอก,ทดสอบส่งฟอร์มจอดค้างคืน และฟอร์มใช้พื้นที่ชั่วคราว/คู่สัญญา,ฟอร์มจอดค้างคืนส่ง q17_input17 ตาม radio ประเภทผู้ขอ ส่วนฟอร์มใช้พื้นที่ชั่วคราวและคู่สัญญาส่ง q17_input17 เป็นค่าว่าง,Medium,Not Run
TC-067,Jotform Submission,All,format เบอร์โทรศัพท์ก่อนส่ง Jotform,กรอกเบอร์โทรที่มีตัวเลขอย่างน้อย 10 หลัก เช่น 0812345678,เปิด summary แล้วกด ยืนยันส่งข้อมูล,q21_input21[full] ถูก format เป็น (081) 234-5678; ถ้าตัวเลขน้อยกว่า 10 หลักให้ส่งค่าตามที่กรอก,Medium,Not Run
TC-068,Jotform Submission,All,ส่ง approver email เฉพาะค่าที่เป็นอีเมล,เปิดฟอร์มที่มีผู้อนุมัติและเปิด summary,กด ยืนยันส่งข้อมูล,ถ้า appEmail มี @ จะส่ง q30_input30 เป็นอีเมลนั้น ถ้าไม่มี @ หรือเป็น - จะส่ง q30_input30 เป็นค่าว่าง,Medium,Not Run
TC-069,Jotform Submission,All,ส่ง summary content ไป Jotform,กรอกข้อมูลฟอร์มและเปิด summaryModal,กด ยืนยันส่งข้อมูล,q32_summary มีข้อความจาก summaryContent ที่แสดงข้อมูลผู้ติดต่อ รายละเอียดคำขอ และผู้อนุมัติเท่าที่มีใน summary,High,Not Run
TC-070,Jotform Submission,All,แนบไฟล์จากฟอร์ม active view ไป Jotform,อยู่ในฟอร์มที่มี input type=file และเลือกไฟล์อย่างน้อย 1 ไฟล์,เปิด summary แล้วกด ยืนยันส่งข้อมูล,ระบบแนบไฟล์จาก input ใน view-section.active ไปยัง field q33_input33[] โดยไม่ดึงไฟล์จาก view อื่น,High,Not Run
TC-071,Jotform Submission,All,แสดง success เมื่อ iframe load หรือครบ timeout,กด ยืนยันส่งข้อมูลแล้ว form submit ไป iframe,จำลอง iframe load หรือรอ 4 วินาที,ระบบเรียก showSubmitSuccess เพียงครั้งเดียว แสดง successModal แล้วกลับ homeView,High,Not Run
